scenario_id,return_period,duration_min,overflow_flag,total_inflow_m3,max_possible_drain_m3,inflow_minus_maxdrain_m3,reservoir_capacity_m3,peak_vol_m3,max_level_m
20yr_1080m_h1074,20,1080,0,85300.42298962612,727040,-641739.5770103738,16000.0,2477.085010328176,6.323989979085439
20yr_1080m_h1078,20,1080,0,85164.09697480284,727040,-641875.9030251971,16000.0,2497.0191462256707,6.330813399686049
20yr_1080m_h1084,20,1080,0,84529.35756434922,727040,-642510.6424356508,16000.0,2461.4694532856133,6.318644800635662
20yr_1080m_h999,20,1080,0,83118.70517862106,727040,-643921.2948213789,16000.0,2536.5189931772857,6.344334129693936
30yr_1080m_h1013,30,1080,0,90143.21135122827,727040,-636896.7886487717,16000.0,2567.8570684965507,6.355061099240873
30yr_1080m_h1048,30,1080,0,92161.03628289752,727040,-634878.9637171025,16000.0,2497.005931721914,6.330808876384029
30yr_1080m_h1071,30,1080,0,91465.95691207667,727040,-635574.0430879233,16000.0,2481.22582094882,6.325407371473924
30yr_1080m_h1074,30,1080,0,91106.12266594265,727040,-635933.8773340574,16000.0,2532.6896211301682,6.343023342196146
30yr_1080m_h1096,30,1080,0,92765.33339307441,727040,-634274.6666069255,16000.0,2716.3180202526555,6.405879028937339
50yr_1080m_h1021,50,1080,0,98396.49506570771,727040,-628643.5049342923,16000.0,2704.260355414757,6.401751710899917
50yr_1080m_h1032,50,1080,0,101141.23638472629,727040,-625898.7636152738,16000.0,2719.7444594948142,6.407051893225608
50yr_1080m_h1057,50,1080,0,100495.6922448546,727040,-626544.3077551454,16000.0,2717.361869296825,6.40623633667862
